url,id,prediction,actual,themse,moves,probability,
https://lichess.org/UrDdufuq/black#70,02QsC,FALSE,FALSE,crushing endgame long,Rf3 Qg5+ Kf8 Rc2 Qxc2+ Kxc2,0.13,
https://lichess.org/D9f2fvLt#39,02VMp,FALSE,FALSE,advantage defensiveMove hangingPiece long middlegame,Rxd6 Qxd6 Rd1 Qc5 Qxg7 Ng6,0.17,
https://lichess.org/ZTd1Nl2D#59,02c2M,TRUE,TRUE,advancedPawn attraction crushing endgame quietMove veryLong,Rc7 Nxh2 Rf2 Rxf2 Kxf2 Ng4+ Kg1 h2+ Kh1 Rd8 Nd5 cxd5,0.57,
https://lichess.org/AOsu1cvl#35,02ed8,FALSE,FALSE,crushing middlegame veryLong,g4 g6 Qh6 Bg5 Qg7+ Qxg7 Bxg7 Kxg7,0.13,
https://lichess.org/F95NGxCG/black#44,02fjz,FALSE,FALSE,advantage defensiveMove discoveredAttack endgame long,Qb5+ Kg1 Rfe8 Bxh7+ Kg7 Qxb5,0.15,
https://lichess.org/Jwn3DneJ/black#62,02gtK,FALSE,FALSE,advantage defensiveMove long middlegame trappedPiece,e3 Rd1 Qxd1 Qxd1 Bg8 c4,0.11,
https://lichess.org/ItIbtHc9/black#86,02kZu,TRUE,TRUE,bishopEndgame crushing endgame exposedKing long quietMove,Bh4 g5 a4 e6+ Ke8 d6,0.53,
https://lichess.org/L7u9w6T1/black#68,02ti8,TRUE,TRUE,crushing endgame long quietMove,Kh6 Rf4 R2c4 Re5 Qxe5 Qxe5,0.78,
https://lichess.org/qIchBdB0/black#48,036Al,TRUE,TRUE,advantage long middlegame quietMove,Re8 Qd2 Re6 Bc5 Ne7 Rxd6,0.79,
https://lichess.org/yqtWDmny/black#84,03JyE,TRUE,TRUE,advancedPawn attraction crushing endgame exposedKing long quietMove,c2 Nf7 Qxf7 exf7+ Kxf7 Qc7+,0.69,
https://lichess.org/WLTGwAxJ#91,03WsY,FALSE,TRUE,advancedPawn crushing defensiveMove endgame pawnEndgame quietMove veryLong,b3+ Kb4 Kc2 Ka3 Kb1 d4 Ka1 d3 Kb1 d2 Kc2 Kxa2,0.24,
https://lichess.org/H6IlCoVE#45,03ZnP,FALSE,TRUE,equality long middlegame quietMove trappedPiece,Bxb4 g5 f4 Bd7 fxe5 Bxf5,0.42,
https://lichess.org/rKzlkQJw/black#78,03nUA,TRUE,TRUE,crushing endgame long pawnEndgame quietMove zugzwang,c4 a5 Ke6 Kd4 h5 gxh5,0.86,
https://lichess.org/SnhWd9Yk#89,04QpK,FALSE,TRUE,crushing defensiveMove endgame quietMove veryLong,Bxe3 Rxe3+ Rxe3+ fxe3 Kxe3 b5 Kf3 Kf5,0.09,
https://lichess.org/a234zrAB#85,0AlyW,FALSE,TRUE,crushing endgame fork pin quietMove veryLong,Qb6 Qb1+ Ka3 Qc1+ Rb2 Re1 Qxa5 Re2 Qc3 Qxc3,0.06,
https://lichess.org/ORO7mLqq#39,0Duhy,FALSE,TRUE,crushing long middlegame quietMove,c4 Rxg5 Rxe4 f6 Rg4 Rxg4,0,unclear
https://lichess.org/wTaxLa6A#55,0Lxgr,FALSE,TRUE,advancedPawn crushing endgame quietMove veryLong,Rxg7 c2 Re7 Rd1+ Re1 Rxc1 Rxc1 Rd8 Kf1 Rd1+ Ke2 Rxc1,0.08,
https://lichess.org/IdVi7RRq#75,0Q0u5,FALSE,TRUE,crushing endgame long quietMove,Rf1 Be5 Qc3 Qxc3 Rxc3 Bxc3,0.06,
https://lichess.org/j2z9Ysfp/black#56,0VpnC,FALSE,TRUE,advantage endgame fork quietMove veryLong,h6 Qxf7+ Kh7 Qxe8 Rb1 Nd3 Rxe1+ Nxe1,0.03,unclear
https://lichess.org/wlPJdm62/black#74,0c65d,FALSE,TRUE,crushing endgame long quietMove,Kb8 Bd5 Qg6 Qxe3 Qa6+ Kxb4,0.08,
https://lichess.org/Shv0BhPI/black#60,0eHz0,FALSE,TRUE,crushing endgame exposedKing fork quietMove veryLong,Qg7 Qxe6+ Qf7 Qxg4 Rf5 Kh2 Rf1 Qc8+ Kh7 Be3 Re1 Qc5,0.03,
https://lichess.org/pEehvWEW#23,0zvUn,FALSE,TRUE,advantage long opening quietMove,Bb2 Nh5 Qa4 b5 Bxb5 cxb5,0.07,
https://lichess.org/Vj5bXVfY/black#116,10SET,FALSE,TRUE,crushing endgame fork quietMove skewer veryLong,Kg5 Re5+ Kf4 Rxc5 h4 Rc3 g3 Rc4+ Kf3 Rxh4 g2 Rh3+ Kf2 Rg3 g1=Q Rxg1,0.03,
https://lichess.org/hspluyAE/black#34,1CBIp,FALSE,TRUE,advantage middlegame quietMove veryLong,Nc6 Nxc6+ dxc6 Rd4+ Bd7 Red1 Kc8 Rxd7,0.08,
https://lichess.org/ScnKb2Sr/black#52,1GTMh,FALSE,TRUE,crushing middlegame quietMove veryLong,Rf3 Qe7+ Kg6 Bc2+ Bf5 Bxf5+ Rxf5 gxf5+ Kh7 Rh1 Rxe8 Qxe8,0.01,
https://lichess.org/2ScFrUjS/black#28,1Gjlr,FALSE,TRUE,advantage defensiveMove hangingPiece opening quietMove veryLong,Re8 fxg4 Nxe2+ Bxe2 Qb6+ Kh1 Qxb2 Nc2 Rac8 Bd3,0.03,
https://lichess.org/rDyJIBEJ#63,1I4wf,FALSE,TRUE,advantage endgame long quietMove,Qxd5 Qb6 Qe5 c3 Qxb8+ Qxb8,0.07,
https://lichess.org/LQA30KrT#83,1J7mq,FALSE,TRUE,crushing endgame quietMove veryLong,Qc6 Qxc6 dxc6 Rxe5 Rc4 Rb8 c7 Rc8,0.04,
https://lichess.org/Z1xju44F/black#42,1O9Bj,FALSE,TRUE,advantage clearance kingsideAttack middlegame pin quietMove veryLong,h6 Re8+ Kh7 Qg8+ Kg6 Re6+ Rf6 Qe8+ Kf5 Re4 Nxd4 Re3,0,
https://lichess.org/9fgurv29#73,1OAhx,FALSE,TRUE,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong zugzwang,g4 Ke5 d6 Kxd6 Ke4 Kc6 Ke5 c4 Kd4 Kb5 h4 gxh4 g5 h3 f6 gxf6 gxf6 h2 f7 h1=Q,0.05,
https://lichess.org/D13rkHZH#83,1PHT4,FALSE,TRUE,crushing defensiveMove endgame quietMove skewer veryLong,Nxh5 Bd1+ Kf4 Bxh5 b5 cxb5 c6 Be8 c7 Bd7 h4 Kd5,0.09,
https://lichess.org/GaUjUNye/black#74,4hss8,TRUE,FALSE,crushing defensiveMove endgame long rookEndgame,Rg4 Rxg4 hxg4 a4 Kf6 a5,0.92,unclear
https://lichess.org/WLDvM3b0#83,CSMb6,TRUE,FALSE,crushing defensiveMove endgame knightEndgame long,Nxb5 Nxb5 Kxb5 h5 Kc4 h4,0.91,
